German,English
Weisst,You know
ne,it is
brechen,break
lacht,laughs
Gar,Even
angetan,impressed
Paar,Pair
Druck,Pressure
mitkommen,come along
reich,reich
Nie,NO
Fluss,Flow
wirkt,works
Werden,Become
traf,met
schließlich,finally
Richtige,Correct
Gewalt,Violence
gelaufen,ran
Daten,Data
Hunde,Dogs
Großvater,grandfather
wahre,true
nachgedacht,thought about
Falle,trap
eigenes,own
Gang,Walking
sahen,saw
erreicht,reached
Willen,Want
solchen,such
schlechter,worse
einzigen,only
willkommen,welcome
ermordet,murdered
Tiere,Animals
Sollte,Should
ner,down
längst,long ago
Autos,Cars
Hätte,Would have
wohnt,lives
krieg,war
fiel,fell
Hose,Hose
leiden,to lead
Hau,This
sprichst,speak
freue,am happy
Außer,Except
gebrochen,broken
Baum,Baum
gehalten,held
Träume,Dreams
Reihe,Row
stelle,position
Medizin,medicine
halb,bad
gezeigt,shown
Meilen,miles
Lieutenant,Lieutenant
hieß,was called
Wunsch,Wish
erster,first
Befehle,Commands
Bastard,Bastard
rief,called
Nachdem,After
Toten,Kill
Frühstück,Breakfast
schaffst,create
ihres,their
hat's,hat's
aufgeben,give up
Gespräch,Conversation
Engel,Engel
verbringen,spend
Terroristen,terrorists
Erfahrung,Experience
brauchte,needed
schätzen,treasure
seien,be
Nehmt,Take
Bad,Bad
Vogel,Vogel
Wochenende,weekend
neun,nine
fantastisch,fantastic
Bleibt,Remains
zweiten,second
vollkommen,completely
Unter,Under
verfolgen,track
schläft,sleeps
bemerkt,noticed
Marge,Marge
Erste,First
erinnerst,remember
Deinen,Your
Wichser,Wichser
Signal,Signal
Wollt,Wanted
Wieder,Again
schließen,close
Pistole,Pistol
lächerlich,ridiculous
Filme,Film
